sentence,number,sentence owner,voice
本当？,4751,bunbuku,yomi
急いで！,4754,blay_paul,yomi
静かに！,142537,bunbuku,yomi
何これ？,370955,saeb,yomi
なんで？,778974,marloncori,yomi
何の話？,2303034,tommy_san,yomi
いま暇？,2752686,tommy_san,yomi
新聞どこ？,145180,tommy_san,yomi
寝てるの？,2666712,tommy_san,yomi
今の音何？,3550819,tommy_san,yomi
頭痛い。,3590724,tommy_san,yomi
あ、雪だ！,3710861,tommy_san,yomi
何してるの？,4704,Swift,yomi
忘れ物ない？,82540,mookeee,yomi
何に使うの？,187729,bunbuku,yomi
また明日。,195390,bunbuku,yomi
これ誰の本？,217562,tommy_san,yomi
雨降ってる？,2562842,tommy_san,yomi
トムって誰？,2733628,tommy_san,huizi99
今週末は暇？,3024516,tommy_san,yomi
暑くないの？,3126024,tommy_san,yomi
顔赤いよ。,3373644,tommy_san,yomi
何食べたい？,3466602,tommy_san,yomi
トムはどこ？,3509647,arnab,huizi99
これ何の音？,3550836,tommy_san,yomi
何見てるの？,3552883,tommy_san,yomi
何買ったの？,3552893,tommy_san,yomi
どこ行くの？,3595435,tommy_san,yomi
これトムの？,3700808,tommy_san,yomi
手伝おうか？,3878008,tommy_san,yomi
独身ですか。,123421,tommy_san,Mizu
大賛成です。,137534,tommy_san,Mizu
大学生です。,137609,tommy_san,Mizu
元気出して。,175025,mookeee,yomi
謝らないで。,1490026,marshmallowcat,yomi
ありがとう。,1532832,bunbuku,yomi
みんなはどこ？,2310116,tommy_san,yomi
何考えてるの？,2430004,tommy_san,yomi
どういう意味？,2492791,tommy_san,yomi
何探してんの？,2533654,tommy_san,yomi
トムは行った？,2562502,OrangeTart,huizi99
まだ起きてる？,2569601,tommy_san,yomi
トムは死んだ？,2581781,OrangeTart,huizi99
トムは勝った？,2581788,OrangeTart,huizi99
まだ怒ってる？,2615036,tommy_san,yomi
トムが正解。,2622377,OrangeTart,huizi99
トムが最強。,2626291,OrangeTart,huizi99
これトムの靴？,2739683,tommy_san,yomi
トムは今幸せ？,2739687,tommy_san,huizi99
トム、大丈夫？,2739688,tommy_san,huizi99
何の話ですか？,2774232,tommy_san,Mizu
何読んでるの？,2871761,tommy_san,yomi
何人に話した？,2912714,tommy_san,yomi
何食べてるの？,3023122,tommy_san,yomi
外は雪だよ。,3029987,tommy_san,yomi
何笑ってんの？,3105597,tommy_san,yomi
トムの嘘つき！,3451423,tommy_san,yomi
お急ぎですか？,3454115,tommy_san,Mizu
誰待ってるの？,3455043,tommy_san,yomi
あれはトムの？,3496705,arnab,huizi99
トムってバカ？,3507421,arnab,huizi99
何書いてんの？,3552890,tommy_san,yomi
何が心配なの？,3552898,tommy_san,yomi
どういうこと？,3553284,tommy_san,yomi
身長何センチ？,3559170,tommy_san,yomi
それ見せて。,3560587,tommy_san,yomi
眠いんですか？,3662454,tommy_san,Mizu
眠そうだね。,3662503,tommy_san,yomi
アイス食べる？,3699447,tommy_san,yomi
のど渇いた。,3759421,tommy_san,yomi
心配しないで。,4734,Swift,yomi
聞こえますか。,83624,tommy_san,Mizu
遅れてごめん。,126714,tommy_san,yomi
知らなかったの？,127078,tommy_san,yomi
水をください。,143718,bunbuku,huizi99
私もそう思う。,152212,tommy_san,yomi
座りませんか。,170842,bunbuku,yomi
考えすぎだよ。,173476,tommy_san,yomi
許して下さい。,182164,bunbuku,huizi99
一緒に行かない？,190532,bunbuku,yomi
すぐ戻ります。,214752,tommy_san,Mizu
どうしてですか？,778975,marloncori,yomi
トムに聞いて。,2038384,bunbuku,huizi99
トムは男前だ。,2060614,bunbuku,huizi99
トムは勝った。,2152871,bunbuku,huizi99
トムに聞いたの？,2216633,bunbuku,huizi99
トムに電話した？,2304848,bunbuku,yomi
間違えました。,2312024,tommy_san,Mizu
トムは座った。,2349381,hutian,huizi99
トムはどう思う？,2385312,tommy_san,yomi
いま何時ですか？,2412106,tommy_san,yomi
日本の方ですか？,2412133,tommy_san,Mizu
分かってます。,2518677,tommy_san,Mizu
誰と話してるの？,2533640,tommy_san,yomi
トムを叩いた。,2556219,OrangeTart,huizi99
トムが見える。,2559793,OrangeTart,huizi99
